,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
160,0.1,0.0008,0.1,500,0.46666666865348816,9.013472557067871
161,0.1,0.0008,0.1,2500,0.0,19.445197105407715
162,0.1,0.0008,1.0,100,0.5333333611488342,7.100877523422241
163,0.1,0.0008,1.0,500,0.2666666805744171,8.717350482940674
164,0.1,0.0008,1.0,2500,0.46666666865348816,19.207500457763672
165,0.1,0.0008,10.0,100,0.46666666865348816,7.006356954574585
166,0.1,0.0008,10.0,500,0.5333333611488342,9.050742626190186
167,0.1,0.0008,10.0,2500,0.5333333611488342,19.001896381378174
168,0.1,0.0032,0.01,100,0.7333333492279053,7.018513441085815
169,0.1,0.0032,0.01,500,0.5333333611488342,8.623480319976807
170,0.1,0.0032,0.01,2500,0.5333333611488342,19.30197310447693
171,0.1,0.0032,0.1,100,0.4333333373069763,6.822465896606445
172,0.1,0.0032,0.1,500,0.5333333611488342,8.827887773513794
173,0.1,0.0032,0.1,2500,0.9666666388511658,19.392279148101807
174,0.1,0.0032,1.0,100,0.5333333611488342,6.726038455963135
175,0.1,0.0032,1.0,500,0.5333333611488342,8.728336811065674
176,0.1,0.0032,1.0,2500,0.5666666626930237,19.384541273117065
177,0.1,0.0032,10.0,100,0.8999999761581421,7.200642347335815
178,0.1,0.0032,10.0,500,0.2666666805744171,8.688104391098022
179,0.1,0.0032,10.0,2500,0.2666666805744171,19.088521003723145
180,0.1,0.0128,0.01,100,0.2666666805744171,6.792925119400024
181,0.1,0.0128,0.01,500,0.8666666746139526,8.861582279205322
182,0.1,0.0128,0.01,2500,0.9666666388511658,18.93812894821167
183,0.1,0.0128,0.1,100,0.699999988079071,6.75000786781311
184,0.1,0.0128,0.1,500,0.9666666388511658,8.571224689483643
185,0.1,0.0128,0.1,2500,0.9666666388511658,19.201813220977783
186,0.1,0.0128,1.0,100,0.6000000238418579,6.759292840957642
187,0.1,0.0128,1.0,500,0.5333333611488342,9.307976007461548
188,0.1,0.0128,1.0,2500,0.9666666388511658,19.702226400375366
189,0.1,0.0128,10.0,100,0.2666666805744171,7.04865837097168
190,0.1,0.0128,10.0,500,0.2666666805744171,8.85942029953003
191,0.1,0.0128,10.0,2500,0.2666666805744171,19.296757459640503
192,0.1,0.0512,0.01,100,0.9666666388511658,6.866940975189209
