,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time,Pred.Quality
104,0.05,0.0032,1.0,2500,0.5333333611488342,19.06409478187561,1
105,0.05,0.0032,10.0,100,0.2666666805744171,6.8127803802490225,0
106,0.05,0.0032,10.0,500,0.4666666686534882,8.909560918807982,0
107,0.05,0.0032,10.0,2500,0.2666666805744171,19.22632431983948,0
108,0.05,0.0128,0.01,100,0.8333333134651184,6.95913290977478,2
109,0.05,0.0128,0.01,500,0.9333333373069764,8.967139720916748,2
110,0.05,0.0128,0.01,2500,0.9333333373069764,19.193742752075195,2
111,0.05,0.0128,0.1,100,0.5333333611488342,6.8119637966156015,1
112,0.05,0.0128,0.1,500,0.9666666388511658,9.238830804824827,2
113,0.05,0.0128,0.1,2500,0.9333333373069764,18.81860065460205,2
114,0.05,0.0128,1.0,100,0.5333333611488342,6.627901554107666,1
115,0.05,0.0128,1.0,500,0.5333333611488342,8.819294452667236,1
116,0.05,0.0128,1.0,2500,0.9666666388511658,19.75147533416748,2
117,0.05,0.0128,10.0,100,0.4333333373069763,6.75681734085083,0
118,0.05,0.0128,10.0,500,0.2666666805744171,9.26265788078308,0
119,0.05,0.0128,10.0,2500,0.2666666805744171,19.31938862800598,0
120,0.05,0.0512,0.01,100,0.6333333253860474,6.7033441066741934,1
121,0.05,0.0512,0.01,500,1.0,8.563764333724977,2
122,0.05,0.0512,0.01,2500,0.9666666388511658,19.01709985733032,2
123,0.05,0.0512,0.1,100,0.9666666388511658,7.28267502784729,2
124,0.05,0.0512,0.1,500,0.9666666388511658,8.737042665481567,2
125,0.05,0.0512,0.1,2500,0.9666666388511658,19.48413372039795,2
126,0.05,0.0512,1.0,100,0.9333333373069764,6.79101037979126,2
127,0.05,0.0512,1.0,500,0.9666666388511658,8.744449615478517,2
128,0.05,0.0512,1.0,2500,0.9333333373069764,19.42292881011963,2
129,0.05,0.0512,10.0,100,0.2666666805744171,6.706765174865723,0
130,0.05,0.0512,10.0,500,0.2666666805744171,9.187686443328856,0
131,0.05,0.0512,10.0,2500,0.2666666805744171,18.94924879074097,0
132,0.05,0.2048,0.01,100,0.2666666805744171,6.510560750961304,0
133,0.05,0.2048,0.01,500,0.2666666805744171,8.811296224594118,0
134,0.05,0.2048,0.01,2500,0.9666666388511658,19.54550099372864,2
135,0.05,0.2048,0.1,100,0.5333333611488342,6.823689699172974,1
136,0.05,0.2048,0.1,500,0.9666666388511658,8.962411880493164,2
137,0.05,0.2048,0.1,2500,0.9666666388511658,19.887343645095825,2
138,0.05,0.2048,1.0,100,0.7333333492279053,6.586329460144043,1
139,0.05,0.2048,1.0,500,0.9666666388511658,8.622791528701782,2
140,0.05,0.2048,1.0,2500,0.9333333373069764,18.968274116516113,2
141,0.05,0.2048,10.0,100,0.2666666805744171,6.8157057762146,0
